emissions,fips,county,period,p5,p17,p50,p83,p95
4.5,53000,STATE,1981-2010,,,2.62,,
4.5,53000,STATE,2020-2039,2.4,4.2,4.9,6.5,7.2
4.5,53000,STATE,2040-2059,4.7,5.5,7.6,10.8,12.5
4.5,53000,STATE,2080-2099,6.2,6.9,9.2,16.2,21
4.5,53001,Adams,1981-2010,,,10.8,,
4.5,53001,Adams,2020-2039,8.7,15.6,17.8,22.4,26.4
4.5,53001,Adams,2040-2059,16.1,17.2,22.4,32.5,36.8
4.5,53001,Adams,2080-2099,18.6,20.1,28.7,45.6,55.1
4.5,53003,Asotin,1981-2010,,,19.1,,
4.5,53003,Asotin,2020-2039,16.8,25.4,28.9,34.8,42.4
4.5,53003,Asotin,2040-2059,25.6,28.3,35.2,44,52.6
4.5,53003,Asotin,2080-2099,30,32.4,42.6,59.1,68.9
4.5,53005,Benton,1981-2010,,,13.47,,
4.5,53005,Benton,2020-2039,13.6,18.9,22.4,28.4,29.8
4.5,53005,Benton,2040-2059,20.3,22.4,29.1,39.6,43
4.5,53005,Benton,2080-2099,24.2,26.1,35.1,55.3,63.7
4.5,53007,Chelan,1981-2010,,,2.07,,
4.5,53007,Chelan,2020-2039,2.1,4.9,6.6,8.8,10.9
4.5,53007,Chelan,2040-2059,5.8,7.8,10.4,16.5,19.4
4.5,53007,Chelan,2080-2099,8.3,9.4,14.1,26.7,32.6
4.5,53009,Clallam,1981-2010,,,0.03,,
4.5,53009,Clallam,2020-2039,0.1,0.3,0.6,0.9,1.2
4.5,53009,Clallam,2040-2059,0.2,0.3,0.8,1.6,2
4.5,53009,Clallam,2080-2099,0.7,0.9,1.5,3,4.6
4.5,53011,Clark,1981-2010,,,2.73,,
4.5,53011,Clark,2020-2039,2.7,3.6,4.4,5.7,6.8
4.5,53011,Clark,2040-2059,4,5.2,7.5,11.2,12.9
4.5,53011,Clark,2080-2099,6,7.2,9.7,15.9,21.8
4.5,53013,Columbia,1981-2010,,,17.17,,
4.5,53013,Columbia,2020-2039,14.1,23.7,27.1,33.1,37.1
4.5,53013,Columbia,2040-2059,23.6,25.4,32.9,44,50.3
4.5,53013,Columbia,2080-2099,26.8,29.8,41.5,58,69.5
4.5,53015,Cowlitz,1981-2010,,,1.93,,
4.5,53015,Cowlitz,2020-2039,2.1,2.6,3.2,4.2,5.5
4.5,53015,Cowlitz,2040-2059,3.1,3.7,5.1,7.4,9.6
4.5,53015,Cowlitz,2080-2099,4.5,5,6.5,11.5,14.6
4.5,53017,Douglas,1981-2010,,,20.5,,
4.5,53017,Douglas,2020-2039,18.4,29,33.4,38.2,41.6
4.5,53017,Douglas,2040-2059,30.8,31.4,37.5,48.9,53.2
4.5,53017,Douglas,2080-2099,32.6,36.2,43.5,64,73.7
4.5,53019,Ferry,1981-2010,,,2.8,,
4.5,53019,Ferry,2020-2039,1.8,5.2,6.7,9.4,10.8
4.5,53019,Ferry,2040-2059,7,7.8,11.2,16.7,21.1
4.5,53019,Ferry,2080-2099,8.6,9.3,14.2,28.1,38.4
4.5,53021,Franklin,1981-2010,,,11.7,,
4.5,53021,Franklin,2020-2039,12.8,19.4,22,28.8,31.9
4.5,53021,Franklin,2040-2059,20,23.7,29.6,42.3,46.2
4.5,53021,Franklin,2080-2099,25.7,28.2,37.4,57.9,66.6
4.5,53023,Garfield,1981-2010,,,4.73,,
4.5,53023,Garfield,2020-2039,3.4,8.3,9.8,13.4,16.9
4.5,53023,Garfield,2040-2059,8.7,11.4,14.2,22.4,27.9
4.5,53023,Garfield,2080-2099,11,13.8,19.5,34.6,44.8
4.5,53025,Grant,1981-2010,,,14.93,,
4.5,53025,Grant,2020-2039,11.5,20.1,23.4,27.9,31
4.5,53025,Grant,2040-2059,19.9,21.9,27.9,38,41.5
